計算單位, mV
取樣頻率, 1000 Hz
Sec.(s), mV, pkg_NO
0.0,0.4051284034653467,16
0.001,0.4022277227722778,16
0.002,0.4022277227722778,16
0.003,0.42833384900990124,16
0.004,0.4109297648514859,16
0.005,0.4138304455445548,16
0.006,0.4254331683168324,16
0.007,0.41963180693069324,16
0.008,0.3993270420792082,16
0.009,0.3993270420792082,16
0.01,0.3993270420792082,16
0.011,0.4109297648514859,16
0.012,0.41963180693069324,16
0.013,0.4138304455445548,16
0.014,0.4138304455445548,16
0.015,0.4254331683168324,16
0.016,0.4254331683168324,16
0.017,0.40802908415841627,16
0.018,0.41963180693069324,16
0.019,0.4051284034653467,16
0.02,0.4312345297029709,16
0.021,0.3993270420792082,16
0.022,0.42833384900990124,16
0.023,0.4312345297029709,16
0.024,0.4254331683168324,16
0.025,0.4312345297029709,16
0.026,0.4051284034653467,16
0.027,0.41963180693069324,16
0.028,0.4254331683168324,16
0.029,0.41673112623762437,16
0.03,0.4254331683168324,16
0.031,0.41963180693069324,16
0.032,0.3993270420792082,16
0.033,0.41673112623762437,16
0.034,0.41673112623762437,16
0.035,0.40802908415841627,16
0.036,0.41673112623762437,16
0.037,0.4109297648514859,16
0.038,0.42253248762376283,16
0.039,0.4515392945544559,16
0.04,0.44573793316831745,16
0.041,0.44573793316831745,16
0.042,0.43993657178217893,16
0.043,0.41963180693069324,16
0.044,0.41673112623762437,16
0.045,0.4254331683168324,16
0.046,0.4254331683168324,16
0.047,0.41673112623762437,16
0.048,0.3993270420792082,16
0.049,0.4109297648514859,16
0.05,0.41963180693069324,17
0.051,0.4022277227722778,17
0.052,0.4138304455445548,17
0.053,0.42833384900990124,17
0.054,0.4254331683168324,17
0.055,0.4312345297029709,17
0.056,0.4312345297029709,17
0.057,0.42253248762376283,17
0.058,0.41963180693069324,17
0.059,0.42253248762376283,17
0.06,0.43703589108910934,17
0.061,0.4109297648514859,17
0.062,0.42833384900990124,17
0.063,0.42253248762376283,17
0.064,0.42833384900990124,17
0.065,0.3993270420792082,17
0.066,0.4138304455445548,17
0.067,0.42253248762376283,17
0.068,0.4312345297029709,17
0.069,0.4312345297029709,17
0.07,0.42833384900990124,17
0.071,0.43993657178217893,17
0.072,0.42253248762376283,17
0.073,0.43703589108910934,17
0.074,0.44573793316831745,17
0.075,0.4312345297029709,17
0.076,0.43993657178217893,17
0.077,0.44863861386138626,17
0.078,0.43413521039603975,17
0.079,0.40802908415841627,17
0.08,0.41673112623762437,17
0.081,0.43993657178217893,17
0.082,0.41673112623762437,17
0.083,0.4312345297029709,17
0.084,0.44863861386138626,17
0.085,0.42253248762376283,17
0.086,0.43993657178217893,17
0.087,0.4515392945544559,17
0.088,0.4515392945544559,17
0.089,0.4254331683168324,17
0.09,0.44863861386138626,17
0.091,0.4544399752475255,17
0.092,0.4515392945544559,17
0.093,0.42253248762376283,17
0.094,0.4515392945544559,17
0.095,0.41963180693069324,17
0.096,0.43703589108910934,17
0.097,0.42253248762376283,17
0.098,0.43413521039603975,17
0.099,0.4254331683168324,17
0.1,0.41963180693069324,18
0.101,0.42253248762376283,18
0.102,0.42253248762376283,18
0.103,0.4254331683168324,18
0.104,0.42253248762376283,18
0.105,0.42253248762376283,18
0.106,0.4428372524752478,18
0.107,0.46024133663366396,18
0.108,0.47184405940594093,18
0.109,0.48344678217821857,18
0.11,0.47764542079207933,18
0.111,0.4863474628712874,18
0.112,0.46024133663366396,18
0.113,0.4660426980198024,18
0.114,0.46024133663366396,18
0.115,0.4805461014851489,18
0.116,0.489248143564357,18
0.117,0.47474474009901046,18
0.118,0.47474474009901046,18
0.119,0.4660426980198024,18
0.12,0.47184405940594093,18
0.121,0.49214882425742584,18
0.122,0.5356590346534655,18
0.123,0.5675665222772281,18
0.124,0.5733678836633667,18
0.125,0.5849706064356442,18
0.126,0.5907719678217828,18
0.127,0.5965733292079212,18
0.128,0.5704672029702977,18
0.129,0.5762685643564363,18
0.13,0.5849706064356442,18
0.131,0.5762685643564363,18
0.132,0.5704672029702977,18
0.133,0.5733678836633667,18
0.134,0.5559637995049512,18
0.135,0.5530631188118816,18
0.136,0.5414603960396046,18
0.137,0.5443610767326735,18
0.138,0.5356590346534655,18
0.139,0.5385597153465351,18
0.14,0.5443610767326735,18
0.141,0.5472617574257431,18
0.142,0.5356590346534655,18
0.143,0.5240563118811886,18
0.144,0.49795018564356514,18
0.145,0.4950495049504955,18
0.146,0.47764542079207933,18
0.147,0.47184405940594093,18
0.148,0.4631420173267328,18
0.149,0.45734065594059436,18
0.15,0.44573793316831745,19
0.151,0.43993657178217893,19
0.152,0.43703589108910934,19
0.153,0.42253248762376283,19
0.154,0.43703589108910934,19
0.155,0.43703589108910934,19
0.156,0.43703589108910934,19
0.157,0.4254331683168324,19
0.158,0.43703589108910934,19
0.159,0.43413521039603975,19
0.16,0.4312345297029709,19
0.161,0.44573793316831745,19
0.162,0.41673112623762437,19
0.163,0.4109297648514859,19
0.164,0.43703589108910934,19
0.165,0.4051284034653467,19
0.166,0.4138304455445548,19
0.167,0.41673112623762437,19
0.168,0.4138304455445548,19
0.169,0.43703589108910934,19
0.17,0.4138304455445548,19
0.171,0.4051284034653467,19
0.172,0.41963180693069324,19
0.173,0.42253248762376283,19
0.174,0.43413521039603975,19
0.175,0.43993657178217893,19
0.176,0.42253248762376283,19
0.177,0.41963180693069324,19
0.178,0.40802908415841627,19
0.179,0.3993270420792082,19
0.18,0.4109297648514859,19
0.181,0.40802908415841627,19
0.182,0.39642636138613935,19
0.183,0.38772431930693124,19
0.184,0.39642636138613935,19
0.185,0.38772431930693124,19
0.186,0.4051284034653467,19
0.187,0.38482363861386165,19
0.188,0.39642636138613935,19
0.189,0.4022277227722778,19
0.19,0.4109297648514859,19
0.191,0.4254331683168324,19
0.192,0.4312345297029709,19
0.193,0.42253248762376283,19
0.194,0.40802908415841627,19
0.195,0.4051284034653467,19
0.196,0.38772431930693124,19
0.197,0.4138304455445548,19
0.198,0.3993270420792082,19
0.199,0.38482363861386165,19
0.2,0.4022277227722778,20
0.201,0.39352568069306976,20
0.202,0.4051284034653467,20
0.203,0.3993270420792082,20
0.204,0.4051284034653467,20
0.205,0.4254331683168324,20
0.206,0.41673112623762437,20
0.207,0.44863861386138626,20
0.208,0.4312345297029709,20
0.209,0.42253248762376283,20
0.21,0.4312345297029709,20
0.211,0.4312345297029709,20
0.212,0.43993657178217893,20
0.213,0.4138304455445548,20
0.214,0.4138304455445548,20
0.215,0.4022277227722778,20
0.216,0.3993270420792082,20
0.217,0.40802908415841627,20
0.218,0.4254331683168324,20
0.219,0.42833384900990124,20
0.22,0.42253248762376283,20
0.221,0.42253248762376283,20
0.222,0.4428372524752478,20
0.223,0.4428372524752478,20
0.224,0.4631420173267328,20
0.225,0.46024133663366396,20
0.226,0.43993657178217893,20
0.227,0.4428372524752478,20
0.228,0.42253248762376283,20
0.229,0.41673112623762437,20
0.23,0.4254331683168324,20
0.231,0.42253248762376283,20
0.232,0.43413521039603975,20
0.233,0.42833384900990124,20
0.234,0.43993657178217893,20
0.235,0.44573793316831745,20
0.236,0.4631420173267328,20
0.237,0.489248143564357,20
0.238,0.489248143564357,20
0.239,0.49214882425742584,20
0.24,0.489248143564357,20
0.241,0.46024133663366396,20
0.242,0.5153542698019804,20
0.243,0.6516862623762377,20
0.244,0.8605352722772285,20
0.245,1.14480198019802,20
0.246,1.4377707301980212,20
0.247,1.7220374381188126,20
0.248,1.9976021039603966,20
0.249,2.223855198019802,20
0.25,2.4094987623762387,21
0.251,2.560334158415842,21
0.252,2.685063428217823,21
0.253,2.8300974628712883,21
0.254,2.9519260519801986,21
0.255,3.0766553217821793,21
0.256,3.149172339108912,21
0.257,3.0969600866336635,21
0.258,2.8620049504950495,21
0.259,2.4530089727722784,21
0.26,1.884475556930694,21
0.261,1.3652537128712883,21
0.262,0.9504563737623766,21
0.263,0.6806930693069309,21
0.264,0.4863474628712874,21
0.265,0.40802908415841627,21
0.266,0.3906250000000001,21
0.267,0.4109297648514859,21
0.268,0.42833384900990124,21
0.269,0.47764542079207933,21
0.27,0.48344678217821857,21
0.271,0.489248143564357,21
0.272,0.4863474628712874,21
0.273,0.500850866336634,21
0.274,0.5240563118811886,21
0.275,0.5153542698019804,21
0.276,0.49214882425742584,21
0.277,0.47184405940594093,21
0.278,0.4428372524752478,21
0.279,0.43993657178217893,21
0.28,0.43703589108910934,21
0.281,0.3993270420792082,21
0.282,0.3993270420792082,21
0.283,0.3993270420792082,21
0.284,0.37612159653465366,21
0.285,0.3674195544554463,21
0.286,0.37612159653465366,21
0.287,0.3587175123762382,21
0.288,0.3790222772277232,21
0.289,0.3616181930693071,21
0.29,0.35291615099009976,21
0.291,0.38482363861386165,21
0.292,0.37612159653465366,21
0.293,0.37612159653465366,21
0.294,0.37032023514851514,21
0.295,0.3616181930693071,21
0.296,0.3616181930693071,21
0.297,0.34131342821782207,21
0.298,0.35581683168316863,21
0.299,0.3471147896039605,21
0.3,0.312306621287129,22
0.301,0.3355120668316836,22
0.302,0.30650525990099053,22
0.303,0.30650525990099053,22
0.304,0.332611386138614,22
0.305,0.3384127475247532,22
0.306,0.3500154702970301,22
0.307,0.3384127475247532,22
0.308,0.34421410891089166,22
0.309,0.35581683168316863,22
0.31,0.34131342821782207,22
0.311,0.3587175123762382,22
0.312,0.3384127475247532,22
0.313,0.34421410891089166,22
0.314,0.34131342821782207,22
0.315,0.34421410891089166,22
0.316,0.3355120668316836,22
0.317,0.332611386138614,22
0.318,0.34131342821782207,22
0.319,0.35581683168316863,22
0.32,0.34131342821782207,22
0.321,0.34131342821782207,22
0.322,0.3471147896039605,22
0.323,0.34131342821782207,22
0.324,0.35581683168316863,22
0.325,0.38482363861386165,22
0.326,0.3790222772277232,22
0.327,0.37612159653465366,22
0.328,0.3790222772277232,22
0.329,0.35581683168316863,22
0.33,0.35581683168316863,22
0.331,0.3384127475247532,22
0.332,0.31810798267326745,22
0.333,0.34421410891089166,22
0.334,0.34131342821782207,22
0.335,0.3587175123762382,22
0.336,0.3587175123762382,22
0.337,0.3587175123762382,22
0.338,0.35291615099009976,22
0.339,0.34131342821782207,22
0.34,0.3674195544554463,22
0.341,0.37612159653465366,22
0.342,0.37612159653465366,22
