計算單位, mV
取樣頻率, 1000 Hz
Sec.(s), mV, pkg_NO
0.0,0.09765625000000058,17
0.001,0.08025216584158444,17
0.002,0.03964263613861445,17
0.003,0.013536509900990245,17
0.004,0.03384127475247598,17
0.005,0.06574876237623792,17
0.006,0.05124535891089139,17
0.007,0.05704672029702985,17
0.008,0.02513923267326791,17
0.009,0.03964263613861445,17
0.01,0.036741955445544844,17
0.011,0.036741955445544844,17
0.012,0.036741955445544844,17
0.013,0.02513923267326791,17
0.014,0.03964263613861445,17
0.015,0.07735148514851559,17
0.016,0.05704672029702985,17
0.017,0.04254331683168332,17
0.018,0.05124535891089139,17
0.019,0.02803991336633678,17
0.02,0.05124535891089139,17
0.021,0.05994740099009945,17
0.022,0.04834467821782252,17
0.023,0.05704672029702985,17
0.024,0.02513923267326791,17
0.025,-0.006768254950494756,17
0.026,-0.015470297029702824,17
0.027,-0.0038675742574251566,17
0.028,-0.02127165841584129,17
0.029,-0.041576423267326294,17
0.03,-0.041576423267326294,17
0.031,-0.029973700495049358,17
0.032,-0.02127165841584129,17
0.033,-0.012569616336633224,17
0.034,-0.009668935643563623,17
0.035,0.001933787128713311,17
0.036,-0.0038675742574251566,17
0.037,-0.006768254950494756,17
0.038,-0.0038675742574251566,17
0.039,-0.015470297029702824,17
0.04,-0.0444771039603959,17
0.041,-0.032874381188118224,17
0.042,-0.032874381188118224,17
0.043,-0.029973700495049358,17
0.044,-0.04737778465346476,17
0.045,-0.029973700495049358,17
0.046,-0.01837097772277169,17
0.047,0.007735148514851778,17
0.048,0.022238551980198314,17
0.049,0.022238551980198314,17
0.05,0.05124535891089139,18
0.051,0.036741955445544844,18
0.052,0.001933787128713311,18
0.053,-0.024172339108910156,18
0.054,-0.03577506188118783,18
0.055,-0.03577506188118783,18
0.056,-0.04737778465346476,18
0.057,-0.03577506188118783,18
0.058,-0.05317914603960323,18
0.059,-0.024172339108910156,18
0.06,-0.01837097772277169,18
0.061,-0.015470297029702824,18
0.062,-0.015470297029702824,18
0.063,-0.0038675742574251566,18
0.064,0.02803991336633678,18
0.065,0.06864944306930752,18
0.066,0.13246441831683212,18
0.067,0.19047803217821827,18
0.068,0.3500154702970301,18
0.069,0.5733678836633667,18
0.07,0.8373298267326739,18
0.071,1.1419012995049511,18
0.072,1.449373452970298,18
0.073,1.7046333539603962,18
0.074,1.884475556930694,18
0.075,1.9714959777227732,18
0.076,1.9308864480198031,18
0.077,1.884475556930694,18
0.078,1.835163985148515,18
0.079,1.8003558168316844,18
0.08,1.6872292698019802,18
0.081,1.5828047648514862,18
0.082,1.5392945544554466,18
0.083,1.5189897896039608,18
0.084,1.5247911509901002,18
0.085,1.4754795792079214,18
0.086,1.3275448638613865,18
0.087,1.0954904084158419,18
0.088,0.8373298267326739,18
0.089,0.47764542079207933,18
0.09,0.19337871287128788,18
0.091,-0.032874381188118224,18
0.092,-0.1692063737623755,18
0.093,-0.1924118193069301,18
0.094,-0.13439820544554396,18
0.095,-0.09378867574257396,18
0.096,-0.03577506188118783,18
0.097,-0.0386757425742567,18
0.098,-0.0386757425742567,18
0.099,-0.06478186881188089,18
0.1,-0.0444771039603959,19
0.101,-0.0618811881188113,19
0.102,-0.0618811881188113,19
0.103,-0.07348391089108895,19
0.104,-0.07348391089108895,19
0.105,-0.0850866336633659,19
0.106,-0.08218595297029631,19
0.107,-0.08798731435643549,19
0.108,-0.0618811881188113,19
0.109,-0.06768254950494976,19
0.11,-0.07058323019801936,19
0.111,-0.08798731435643549,19
0.112,-0.09378867574257396,19
0.113,-0.09088799504950437,19
0.114,-0.1053913985148509,19
0.115,-0.09378867574257396,19
0.116,-0.07058323019801936,19
0.117,-0.05317914603960323,19
0.118,-0.05898050742574243,19
0.119,-0.07348391089108895,19
0.12,-0.09088799504950437,19
0.121,-0.07348391089108895,19
0.122,-0.06768254950494976,19
0.123,-0.03577506188118783,19
0.124,-0.012569616336633224,19
0.125,0.010635829207921377,19
0.126,0.03384127475247598,19
0.127,-0.0009668935643562892,19
0.128,-0.04737778465346476,19
0.129,-0.07348391089108895,19
0.13,-0.0850866336633659,19
0.131,-0.10249071782178203,19
0.132,-0.09378867574257396,19
0.133,-0.0850866336633659,19
0.134,-0.10249071782178203,19
0.135,-0.1082920792079205,19
0.136,-0.12279548267326702,19
0.137,-0.11409344059405896,19
0.138,-0.11409344059405896,19
0.139,-0.11699412128712858,19
0.14,-0.13439820544554396,19
0.141,-0.1053913985148509,19
0.142,-0.11119275990098937,19
0.143,-0.12859684405940552,19
0.144,-0.12279548267326702,19
0.145,-0.11409344059405896,19
0.146,-0.12859684405940552,19
0.147,-0.10249071782178203,19
0.148,-0.12279548267326702,19
0.149,-0.10249071782178203,19
0.15,-0.07928527227722743,20
0.151,-0.05898050742574243,20
0.152,-0.07058323019801936,20
0.153,-0.07058323019801936,20
0.154,-0.0850866336633659,20
0.155,-0.0850866336633659,20
0.156,-0.04737778465346476,20
0.157,-0.06478186881188089,20
0.158,-0.01837097772277169,20
0.159,-0.05898050742574243,20
0.16,-0.0850866336633659,20
0.161,-0.09378867574257396,20
0.162,-0.09668935643564283,20
0.163,-0.11699412128712858,20
0.164,-0.13439820544554396,20
0.165,-0.11989480198019743,20
0.166,-0.12279548267326702,20
0.167,-0.1053913985148509,20
0.168,-0.1053913985148509,20
0.169,-0.05027846534653436,20
0.17,-0.027073019801979757,20
0.171,-0.03577506188118783,20
0.172,-0.06768254950494976,20
0.173,-0.07058323019801936,20
0.174,-0.09088799504950437,20
0.175,-0.12279548267326702,20
0.176,-0.0850866336633659,20
0.177,-0.07638459158415783,20
0.178,-0.0618811881188113,20
0.179,-0.09959003712871244,20
0.18,-0.15760365099009857,20
0.181,-0.15470297029702898,20
0.182,-0.1489016089108905,20
0.183,-0.15470297029702898,20
0.184,-0.14019956683168242,20
0.185,-0.15470297029702898,20
0.186,-0.14600092821782165,20
0.187,-0.1256961633663359,20
0.188,-0.07928527227722743,20
0.189,-0.07928527227722743,20
0.19,-0.09668935643564283,20
0.191,-0.0850866336633659,20
0.192,-0.13439820544554396,20
0.193,-0.1314975247524751,20
0.194,-0.12279548267326702,20
0.195,-0.11119275990098937,20
0.196,-0.11119275990098937,20
0.197,-0.11989480198019743,20
0.198,-0.12279548267326702,20
0.199,-0.1314975247524751,20
0.2,-0.16340501237623703,21
0.201,-0.1750077351485147,21
0.202,-0.18370977722772205,21
0.203,-0.16630569306930665,21
0.204,-0.18661045792079164,21
0.205,-0.19531249999999972,21
0.206,-0.1721070544554451,21
0.207,-0.1692063737623755,21
0.208,-0.15470297029702898,21
0.209,-0.16630569306930665,21
0.21,-0.18080909653465316,21
0.211,-0.18661045792079164,21
0.212,-0.1489016089108905,21
0.213,-0.1489016089108905,21
0.214,-0.15470297029702898,21
0.215,-0.1924118193069301,21
0.216,-0.19821318069306856,21
0.217,-0.20111386138613818,21
0.218,-0.20111386138613818,21
0.219,-0.1924118193069301,21
0.22,-0.19531249999999972,21
0.221,-0.15760365099009857,21
0.222,-0.14019956683168242,21
0.223,-0.11119275990098937,21
0.224,-0.09959003712871244,21
0.225,-0.12279548267326702,21
0.226,-0.12859684405940552,21
0.227,-0.15760365099009857,21
0.228,-0.18951113861386124,21
0.229,-0.1924118193069301,21
0.23,-0.19821318069306856,21
0.231,-0.1924118193069301,21
0.232,-0.15470297029702898,21
0.233,-0.15760365099009857,21
0.234,-0.11989480198019743,21
0.235,-0.11119275990098937,21
0.236,-0.12279548267326702,21
0.237,-0.09088799504950437,21
0.238,-0.06478186881188089,21
0.239,-0.05607982673267283,21
0.24,-0.015470297029702824,21
0.241,-0.032874381188118224,21
0.242,-0.01837097772277169,21
0.243,0.013536509900990245,21
0.244,0.004834467821782911,21
0.245,0.02803991336633678,21
0.246,0.04834467821782252,21
0.247,0.045443997524752915,21
0.248,0.03384127475247598,21
0.249,0.02803991336633678,21
0.25,0.036741955445544844,22
0.251,0.04254331683168332,22
0.252,0.016437190594059844,22
0.253,0.010635829207921377,22
0.254,0.019337871287129445,22
0.255,-0.0038675742574251566,22
0.256,-0.0009668935643562892,22
0.257,0.03094059405940638,22
0.258,0.02803991336633678,22
0.259,0.06284808168316905,22
0.26,0.06864944306930752,22
0.261,0.05124535891089139,22
0.262,0.07735148514851559,22
0.263,0.06284808168316905,22
0.264,0.05704672029702985,22
0.265,0.06574876237623792,22
0.266,0.05704672029702985,22
0.267,0.06864944306930752,22
0.268,0.08315284653465406,22
0.269,0.08895420792079252,22
0.27,0.07155012376237638,22
0.271,0.06284808168316905,22
0.272,0.03384127475247598,22
0.273,0.013536509900990245,22
0.274,0.004834467821782911,22
0.275,-0.0009668935643562892,22
0.276,-0.0009668935643562892,22
0.277,0.007735148514851778,22
0.278,0.004834467821782911,22
0.279,0.001933787128713311,22
0.28,-0.006768254950494756,22
0.281,0.007735148514851778,22
0.282,-0.01837097772277169,22
0.283,-0.024172339108910156,22
0.284,-0.03577506188118783,22
0.285,-0.041576423267326294,22
0.286,-0.03577506188118783,22
0.287,-0.015470297029702824,22
0.288,-0.009668935643563623,22
0.289,-0.024172339108910156,22
