計算單位, mV
取樣頻率, 1000 Hz
Sec.(s), mV, pkg_NO
0.0,1.249226485148516,16
0.001,1.2376237623762376,16
0.002,1.260829207920793,16
0.003,1.2405244430693072,16
0.004,1.220219678217823,16
0.005,1.243425123762377,16
0.006,1.2144183168316838,16
0.007,1.223120358910891,16
0.008,1.2318224009901,16
0.009,1.223120358910891,16
0.01,1.2144183168316838,16
0.011,1.2289217202970304,16
0.012,1.2318224009901,16
0.013,1.223120358910891,16
0.014,1.2376237623762376,16
0.015,1.249226485148516,16
0.016,1.260829207920793,16
0.017,1.2318224009901,16
0.018,1.2463258044554464,16
0.019,1.2463258044554464,16
0.02,1.2318224009901,16
0.021,1.2376237623762376,16
0.022,1.220219678217823,16
0.023,1.220219678217823,16
0.024,1.2260210396039606,16
0.025,1.223120358910891,16
0.026,1.223120358910891,16
0.027,1.2347230816831694,16
0.028,1.2318224009901,16
0.029,1.2405244430693072,16
0.03,1.2086169554455446,16
0.031,1.223120358910891,16
0.032,1.1564047029702975,16
0.033,1.1215965346534662,16
0.034,1.0316754331683173,16
0.035,1.0200727103960403,16
0.036,1.0403774752475252,16
0.037,1.2144183168316838,16
0.038,1.4754795792079214,16
0.039,1.8032564975247525,16
0.04,2.1513381806930694,16
0.041,2.4617110148514856,16
0.042,2.7227722772277234,16
0.043,2.937422648514852,16
0.044,3.0998607673267333,16
0.045,3.1752784653465356,16
0.046,3.192682549504952,16
0.047,3.15207301980198,16
0.048,3.1056621287128725,16
0.049,3.0302444306930703,16
0.05,2.873607673267328,17
0.051,2.7604811262376234,17
0.052,2.6415532178217833,17
0.053,2.508121905940595,17
0.054,2.365988551980199,17
0.055,2.194848391089109,17
0.056,1.9889000618811894,17
0.057,1.8409653465346545,17
0.058,1.7220374381188126,17
0.059,1.678527227722773,17
0.06,1.666924504950496,17
0.061,1.6321163366336637,17
0.062,1.6089108910891097,17
0.063,1.5363938737623772,17
0.064,1.4841816212871288,17
0.065,1.4319693688118817,17
0.066,1.388459158415842,17
0.067,1.3391475866336635,17
0.068,1.3130414603960399,17
0.069,1.2956373762376239,17
0.07,1.2695312500000002,17
0.071,1.2666305693069306,17
0.072,1.2550278465346536,17
0.073,1.2318224009901,17
0.074,1.1999149133663374,17
0.075,1.194113551980198,17
0.076,1.2144183168316838,17
0.077,1.2028155940594067,17
0.078,1.1738087871287137,17
0.079,1.165106745049505,17
0.08,1.1709081064356441,17
0.081,1.1767094678217835,17
0.082,1.162206064356437,17
0.083,1.1506033415841592,17
0.084,1.1535040222772281,17
0.085,1.14480198019802,17
0.086,1.1419012995049511,17
0.087,1.1302985767326734,17
0.088,1.1360999381188126,17
0.089,1.1215965346534662,17
0.09,1.124497215346535,17
0.091,1.1128944925742579,17
0.092,1.1273978960396045,17
0.093,1.1070931311881196,17
0.094,1.1360999381188126,17
0.095,1.133199257425743,17
0.096,1.14480198019802,17
0.097,1.1360999381188126,17
0.098,1.1186958539603964,17
0.099,1.1419012995049511,17
0.1,1.1360999381188126,18
0.101,1.1506033415841592,18
0.102,1.1273978960396045,18
0.103,1.133199257425743,18
0.104,1.1302985767326734,18
0.105,1.124497215346535,18
0.106,1.133199257425743,18
0.107,1.1186958539603964,18
0.108,1.133199257425743,18
0.109,1.1302985767326734,18
0.11,1.124497215346535,18
0.111,1.1157951732673268,18
0.112,1.1360999381188126,18
0.113,1.14480198019802,18
0.114,1.1390006188118815,18
0.115,1.1506033415841592,18
0.116,1.162206064356437,18
0.117,1.1477026608910894,18
0.118,1.1564047029702975,18
0.119,1.1506033415841592,18
0.12,1.1506033415841592,18
0.121,1.159305383663367,18
0.122,1.1564047029702975,18
0.123,1.14480198019802,18
0.124,1.14480198019802,18
0.125,1.14480198019802,18
0.126,1.1215965346534662,18
0.127,1.14480198019802,18
0.128,1.1273978960396045,18
0.129,1.1302985767326734,18
0.13,1.1419012995049511,18
0.131,1.1564047029702975,18
0.132,1.1506033415841592,18
0.133,1.1477026608910894,18
0.134,1.1506033415841592,18
0.135,1.1564047029702975,18
0.136,1.1390006188118815,18
0.137,1.1302985767326734,18
0.138,1.14480198019802,18
0.139,1.124497215346535,18
0.14,1.1215965346534662,18
0.141,1.1186958539603964,18
0.142,1.1273978960396045,18
0.143,1.133199257425743,18
0.144,1.1302985767326734,18
0.145,1.1157951732673268,18
0.146,1.1419012995049511,18
0.147,1.1390006188118815,18
0.148,1.1419012995049511,18
0.149,1.1302985767326734,18
0.15,1.1186958539603964,19
0.151,1.1419012995049511,19
0.152,1.1390006188118815,19
0.153,1.1419012995049511,19
0.154,1.1419012995049511,19
0.155,1.1535040222772281,19
0.156,1.1186958539603964,19
0.157,1.14480198019802,19
0.158,1.1302985767326734,19
0.159,1.133199257425743,19
0.16,1.1360999381188126,19
0.161,1.1186958539603964,19
0.162,1.1186958539603964,19
0.163,1.1215965346534662,19
0.164,1.1215965346534662,19
0.165,1.1157951732673268,19
0.166,1.124497215346535,19
0.167,1.1564047029702975,19
0.168,1.1419012995049511,19
0.169,1.1070931311881196,19
0.17,1.1128944925742579,19
0.171,1.0983910891089115,19
