計算單位, mV
取樣頻率, 1000 Hz
Sec.(s), mV, pkg_NO
0.0,1.075185643564357,17
0.001,1.0519801980198022,17
0.002,1.0055693069306937,17
0.003,0.8866413985148519,17
0.004,0.8083230198019808,17
0.005,0.7067991955445551,17
0.006,0.6487855816831689,17
0.007,0.5791692450495052,17
0.008,0.5414603960396046,17
0.009,0.45734065594059436,17
0.01,0.3790222772277232,17
0.011,0.23398824257425788,17
0.012,0.07155012376237638,17
0.013,-0.05027846534653436,17
0.014,-0.16630569306930665,17
0.015,-0.23592202970296972,17
0.016,-0.2765315594059405,17
0.017,-0.2939356435643558,17
0.018,-0.27073019801980125,17
0.019,-0.2620281559405939,17
0.02,-0.24172339108910817,17
0.021,-0.22721998762376167,17
0.022,-0.22721998762376167,17
0.023,-0.22431930693069277,17
0.024,-0.22431930693069277,17
0.025,-0.24172339108910817,17
0.026,-0.2388227103960393,17
0.027,-0.2504254331683162,17
0.028,-0.2504254331683162,17
0.029,-0.2504254331683162,17
0.03,-0.2446240717821778,17
0.031,-0.2504254331683162,17
0.032,-0.2620281559405939,17
0.033,-0.22431930693069277,17
0.034,-0.2504254331683162,17
0.035,-0.2446240717821778,17
0.036,-0.2562267945544547,17
0.037,-0.24752475247524736,17
0.038,-0.2533261138613858,17
0.039,-0.2620281559405939,17
0.04,-0.27073019801980125,17
0.041,-0.2562267945544547,17
0.042,-0.2852336014851478,17
0.043,-0.29683632425742545,17
0.044,-0.27363087871287084,17
0.045,-0.2823329207920789,17
0.046,-0.2823329207920789,17
0.047,-0.2678295173267324,17
0.048,-0.25912747524752433,17
0.049,-0.2823329207920789,17
0.05,-0.27363087871287084,18
0.051,-0.24752475247524736,18
0.052,-0.27363087871287084,18
0.053,-0.2504254331683162,18
0.054,-0.2620281559405939,18
0.055,-0.2562267945544547,18
0.056,-0.25912747524752433,18
0.057,-0.25912747524752433,18
0.058,-0.24172339108910817,18
0.059,-0.27363087871287084,18
0.06,-0.24172339108910817,18
0.061,-0.2562267945544547,18
0.062,-0.27073019801980125,18
0.063,-0.2765315594059405,18
0.064,-0.2765315594059405,18
0.065,-0.2504254331683162,18
0.066,-0.2446240717821778,18
0.067,-0.2446240717821778,18
0.068,-0.2533261138613858,18
0.069,-0.2504254331683162,18
0.07,-0.23012066831683123,18
0.071,-0.2388227103960393,18
0.072,-0.2504254331683162,18
0.073,-0.2504254331683162,18
0.074,-0.2388227103960393,18
0.075,-0.2504254331683162,18
0.076,-0.2533261138613858,18
0.077,-0.24752475247524736,18
0.078,-0.2678295173267324,18
0.079,-0.24172339108910817,18
0.08,-0.24752475247524736,18
0.081,-0.2446240717821778,18
0.082,-0.2533261138613858,18
0.083,-0.24172339108910817,18
0.084,-0.2504254331683162,18
0.085,-0.22431930693069277,18
0.086,-0.24172339108910817,18
0.087,-0.2533261138613858,18
0.088,-0.2504254331683162,18
0.089,-0.2504254331683162,18
0.09,-0.24752475247524736,18
0.091,-0.2533261138613858,18
0.092,-0.2533261138613858,18
0.093,-0.25912747524752433,18
0.094,-0.24752475247524736,18
0.095,-0.24752475247524736,18
0.096,-0.2562267945544547,18
0.097,-0.2562267945544547,18
0.098,-0.23592202970296972,18
0.099,-0.23302134900990085,18
0.1,-0.2446240717821778,19
0.101,-0.22431930693069277,19
0.102,-0.24752475247524736,19
0.103,-0.24172339108910817,19
0.104,-0.23012066831683123,19
0.105,-0.22431930693069277,19
0.106,-0.2446240717821778,19
0.107,-0.24172339108910817,19
0.108,-0.2620281559405939,19
0.109,-0.25912747524752433,19
0.11,-0.2504254331683162,19
0.111,-0.25912747524752433,19
0.112,-0.2562267945544547,19
0.113,-0.2504254331683162,19
0.114,-0.2533261138613858,19
0.115,-0.2504254331683162,19
0.116,-0.24752475247524736,19
0.117,-0.27363087871287084,19
0.118,-0.23592202970296972,19
0.119,-0.2504254331683162,19
0.12,-0.24172339108910817,19
0.121,-0.23592202970296972,19
0.122,-0.2504254331683162,19
0.123,-0.2533261138613858,19
0.124,-0.2562267945544547,19
0.125,-0.2388227103960393,19
0.126,-0.24172339108910817,19
0.127,-0.2533261138613858,19
0.128,-0.23592202970296972,19
0.129,-0.23592202970296972,19
0.13,-0.23592202970296972,19
0.131,-0.2562267945544547,19
0.132,-0.23302134900990085,19
0.133,-0.2504254331683162,19
0.134,-0.23592202970296972,19
0.135,-0.23592202970296972,19
0.136,-0.20111386138613818,19
0.137,-0.20111386138613818,19
0.138,-0.18080909653465316,19
0.139,-0.18951113861386124,19
0.14,-0.19531249999999972,19
0.141,-0.20401454207920777,19
0.142,-0.20401454207920777,19
0.143,-0.1924118193069301,19
0.144,-0.18951113861386124,19
0.145,-0.19821318069306856,19
0.146,-0.19531249999999972,19
0.147,-0.19531249999999972,19
0.148,-0.1924118193069301,19
0.149,-0.20981590346534623,19
0.15,-0.18951113861386124,20
0.151,-0.19821318069306856,20
0.152,-0.16630569306930665,20
0.153,-0.18370977722772205,20
0.154,-0.19531249999999972,20
0.155,-0.19821318069306856,20
0.156,-0.19821318069306856,20
0.157,-0.20111386138613818,20
0.158,-0.20111386138613818,20
0.159,-0.2185179455445543,20
0.16,-0.2185179455445543,20
0.161,-0.20691522277227664,20
0.162,-0.2127165841584151,20
0.163,-0.20691522277227664,20
0.164,-0.18080909653465316,20
0.165,-0.15760365099009857,20
0.166,-0.14310024752475203,20
0.167,-0.14600092821782165,20
0.168,-0.13439820544554396,20
0.169,-0.12279548267326702,20
0.17,-0.09959003712871244,20
0.171,-0.10249071782178203,20
0.172,-0.09378867574257396,20
0.173,-0.09668935643564283,20
0.174,-0.1314975247524751,20
0.175,-0.12859684405940552,20
0.176,-0.11989480198019743,20
0.177,-0.11989480198019743,20
0.178,-0.14600092821782165,20
0.179,-0.1256961633663359,20
0.18,-0.12859684405940552,20
0.181,-0.15760365099009857,20
0.182,-0.1489016089108905,20
0.183,-0.1489016089108905,20
0.184,-0.15180228960396008,20
0.185,-0.15760365099009857,20
0.186,-0.1489016089108905,20
0.187,-0.14310024752475203,20
0.188,-0.16050433168316816,20
0.189,-0.1692063737623755,20
0.19,-0.16050433168316816,20
0.191,-0.1721070544554451,20
0.192,-0.15470297029702898,20
0.193,-0.1692063737623755,20
0.194,-0.1692063737623755,20
0.195,-0.1692063737623755,20
0.196,-0.19531249999999972,20
0.197,-0.1779084158415836,20
0.198,-0.18080909653465316,20
0.199,-0.1750077351485147,20
0.2,-0.1489016089108905,21
0.201,-0.16340501237623703,21
0.202,-0.14600092821782165,21
0.203,-0.15470297029702898,21
0.204,-0.14310024752475203,21
0.205,-0.15760365099009857,21
0.206,-0.16340501237623703,21
0.207,-0.15180228960396008,21
0.208,-0.15470297029702898,21
0.209,-0.1692063737623755,21
0.21,-0.15180228960396008,21
0.211,-0.15760365099009857,21
0.212,-0.13729888613861357,21
0.213,-0.15760365099009857,21
0.214,-0.1721070544554451,21
0.215,-0.16340501237623703,21
0.216,-0.15470297029702898,21
0.217,-0.15470297029702898,21
0.218,-0.14019956683168242,21
0.219,-0.1256961633663359,21
0.22,-0.12859684405940552,21
0.221,-0.13439820544554396,21
0.222,-0.13729888613861357,21
0.223,-0.15470297029702898,21
0.224,-0.15760365099009857,21
0.225,-0.15760365099009857,21
0.226,-0.15180228960396008,21
0.227,-0.15760365099009857,21
0.228,-0.16630569306930665,21
0.229,-0.16340501237623703,21
0.23,-0.15760365099009857,21
0.231,-0.14600092821782165,21
0.232,-0.1692063737623755,21
0.233,-0.15470297029702898,21
0.234,-0.15760365099009857,21
0.235,-0.15180228960396008,21
0.236,-0.14019956683168242,21
0.237,-0.12859684405940552,21
0.238,-0.14019956683168242,21
0.239,-0.14310024752475203,21
0.24,-0.14600092821782165,21
0.241,-0.14600092821782165,21
0.242,-0.16050433168316816,21
0.243,-0.15180228960396008,21
0.244,-0.14310024752475203,21
0.245,-0.14600092821782165,21
0.246,-0.14600092821782165,21
0.247,-0.1692063737623755,21
0.248,-0.18080909653465316,21
0.249,-0.1750077351485147,21
0.25,-0.1924118193069301,22
0.251,-0.1721070544554451,22
0.252,-0.1692063737623755,22
0.253,-0.14600092821782165,22
0.254,-0.13729888613861357,22
0.255,-0.15760365099009857,22
0.256,-0.14600092821782165,22
0.257,-0.14019956683168242,22
0.258,-0.14310024752475203,22
0.259,-0.16340501237623703,22
0.26,-0.1314975247524751,22
0.261,-0.1314975247524751,22
0.262,-0.14310024752475203,22
0.263,-0.14310024752475203,22
0.264,-0.15760365099009857,22
0.265,-0.14600092821782165,22
0.266,-0.1256961633663359,22
0.267,-0.1314975247524751,22
0.268,-0.12859684405940552,22
0.269,-0.11989480198019743,22
0.27,-0.1256961633663359,22
0.271,-0.12859684405940552,22
0.272,-0.1256961633663359,22
0.273,-0.1256961633663359,22
0.274,-0.13439820544554396,22
0.275,-0.12279548267326702,22
0.276,-0.1256961633663359,22
0.277,-0.12279548267326702,22
0.278,-0.12279548267326702,22
0.279,-0.12279548267326702,22
0.28,-0.12859684405940552,22
0.281,-0.1314975247524751,22
0.282,-0.14019956683168242,22
0.283,-0.11989480198019743,22
0.284,-0.12859684405940552,22
0.285,-0.1256961633663359,22
0.286,-0.09378867574257396,22
0.287,-0.09668935643564283,22
0.288,-0.09668935643564283,22
0.289,-0.1053913985148509,22
0.29,-0.09959003712871244,22
0.291,-0.1053913985148509,22
0.292,-0.11699412128712858,22
0.293,-0.09668935643564283,22
0.294,-0.09959003712871244,22
0.295,-0.11409344059405896,22
0.296,-0.11119275990098937,22
0.297,-0.10249071782178203,22
0.298,-0.10249071782178203,22
0.299,-0.1053913985148509,22
0.3,-0.09959003712871244,23
0.301,-0.09668935643564283,23
0.302,-0.09088799504950437,23
0.303,-0.09378867574257396,23
0.304,-0.11119275990098937,23
0.305,-0.11119275990098937,23
0.306,-0.08218595297029631,23
0.307,-0.0850866336633659,23
0.308,-0.0850866336633659,23
0.309,-0.06768254950494976,23
0.31,-0.07348391089108895,23
0.311,-0.0850866336633659,23
0.312,-0.09668935643564283,23
0.313,-0.08798731435643549,23
0.314,-0.07928527227722743,23
0.315,-0.09959003712871244,23
0.316,-0.0850866336633659,23
0.317,-0.0850866336633659,23
0.318,-0.11119275990098937,23
0.319,-0.0850866336633659,23
0.32,-0.08798731435643549,23
0.321,-0.07348391089108895,23
0.322,-0.06478186881188089,23
0.323,-0.0618811881188113,23
0.324,-0.06768254950494976,23
0.325,-0.05607982673267283,23
0.326,-0.0618811881188113,23
0.327,-0.07638459158415783,23
0.328,-0.07348391089108895,23
0.329,-0.06478186881188089,23
0.33,-0.0618811881188113,23
0.331,-0.08798731435643549,23
0.332,-0.05027846534653436,23
0.333,-0.08798731435643549,23
0.334,-0.07928527227722743,23
0.335,-0.06768254950494976,23
0.336,-0.07348391089108895,23
0.337,-0.06478186881188089,23
0.338,-0.05027846534653436,23
0.339,-0.041576423267326294,23
0.34,-0.027073019801979757,23
0.341,-0.006768254950494756,23
0.342,-0.015470297029702824,23
0.343,-0.032874381188118224,23
0.344,-0.03577506188118783,23
0.345,-0.02127165841584129,23
0.346,-0.0444771039603959,23
0.347,-0.05317914603960323,23
0.348,-0.0618811881188113,23
0.349,-0.029973700495049358,23
0.35,-0.009668935643563623,24
0.351,0.03384127475247598,24
0.352,0.04834467821782252,24
0.353,0.08025216584158444,24
0.354,0.10925897277227752,24
0.355,0.14406714108910906,24
0.356,0.1643719059405948,24
0.357,0.17017326732673327,24
0.358,0.17307394801980214,24
0.359,0.1846766707920798,24
0.36,0.17887530940594132,24
0.361,0.17887530940594132,24
0.362,0.16727258663366365,24
0.363,0.14696782178217865,24
0.364,0.12666305693069363,24
0.365,0.1179610148514856,24
0.366,0.08605352722772291,24
0.367,0.05704672029702985,24
0.368,0.04254331683168332,24
0.369,0.013536509900990245,24
0.37,0.007735148514851778,24
0.371,-0.01837097772277169,24
0.372,-0.027073019801979757,24
0.373,-0.015470297029702824,24
0.374,-0.05027846534653436,24
0.375,-0.05027846534653436,24
0.376,-0.05317914603960323,24
0.377,-0.06478186881188089,24
0.378,-0.07058323019801936,24
0.379,-0.0618811881188113,24
0.38,-0.08218595297029631,24
0.381,-0.0850866336633659,24
0.382,-0.09378867574257396,24
0.383,-0.08218595297029631,24
0.384,-0.07348391089108895,24
0.385,-0.09088799504950437,24
0.386,-0.07638459158415783,24
0.387,-0.0618811881188113,24
0.388,-0.07348391089108895,24
0.389,-0.07058323019801936,24
0.39,-0.06478186881188089,24
0.391,-0.05607982673267283,24
0.392,-0.07348391089108895,24
0.393,-0.07638459158415783,24
0.394,-0.07638459158415783,24
0.395,-0.09378867574257396,24
0.396,-0.08798731435643549,24
0.397,-0.08218595297029631,24
0.398,-0.07928527227722743,24
0.399,-0.08218595297029631,24
0.4,-0.0850866336633659,25
0.401,-0.07348391089108895,25
0.402,-0.08218595297029631,25
0.403,-0.09378867574257396,25
0.404,-0.11119275990098937,25
0.405,-0.07348391089108895,25
0.406,-0.09088799504950437,25
0.407,-0.06478186881188089,25
0.408,-0.0850866336633659,25
0.409,-0.09088799504950437,25
0.41,-0.09088799504950437,25
0.411,-0.08798731435643549,25
0.412,-0.0850866336633659,25
0.413,-0.09088799504950437,25
0.414,-0.08218595297029631,25
0.415,-0.0850866336633659,25
0.416,-0.08798731435643549,25
0.417,-0.09959003712871244,25
0.418,-0.08798731435643549,25
0.419,-0.09959003712871244,25
0.42,-0.08218595297029631,25
0.421,-0.07348391089108895,25
0.422,-0.0618811881188113,25
0.423,-0.07348391089108895,25
0.424,-0.07348391089108895,25
0.425,-0.07348391089108895,25
0.426,-0.08798731435643549,25
0.427,-0.07928527227722743,25
0.428,-0.09378867574257396,25
0.429,-0.07058323019801936,25
0.43,-0.07348391089108895,25
0.431,-0.09378867574257396,25
