計算單位, mV
取樣頻率, 1000 Hz
Sec.(s), mV, pkg_NO
0.0,-2.425935952970297,16
0.001,-2.4288366336633658,16
0.002,-2.420134591584158,16
0.003,-2.4230352722772275,16
0.004,-2.420134591584158,16
0.005,-2.420134591584158,16
0.006,-2.382425742574257,16
0.007,-2.3505182549504946,16
0.008,-2.324412128712871,16
0.009,-2.3273128094059405,16
0.01,-2.3215114480198014,16
0.011,-2.341816212871287,16
0.012,-2.3621209777227716,16
0.013,-2.3621209777227716,16
0.014,-2.373723700495049,16
0.015,-2.385326423267326,16
0.016,-2.3882271039603955,16
0.017,-2.3940284653465342,16
0.018,-2.3940284653465342,16
0.019,-2.399829826732673,16
0.02,-2.4143332301980194,16
0.021,-2.385326423267326,16
0.022,-2.3882271039603955,16
0.023,-2.3708230198019797,16
0.024,-2.3621209777227716,16
0.025,-2.324412128712871,16
0.026,-2.341816212871287,16
0.027,-2.336014851485148,16
0.028,-2.344716893564356,16
0.029,-2.341816212871287,16
0.03,-2.336014851485148,16
0.031,-2.3273128094059405,16
0.032,-2.324412128712871,16
0.033,-2.307008044554455,16
0.034,-2.2983060024752473,16
0.035,-2.3389155321782176,16
0.036,-2.3215114480198014,16
0.037,-2.336014851485148,16
0.038,-2.312809405940594,16
0.039,-2.2983060024752473,16
0.04,-2.3099087252475248,16
0.041,-2.324412128712871,16
0.042,-2.3389155321782176,16
0.043,-2.312809405940594,16
0.044,-2.3389155321782176,16
0.045,-2.3389155321782176,16
0.046,-2.336014851485148,16
0.047,-2.3621209777227716,16
0.048,-2.336014851485148,16
0.049,-2.3215114480198014,16
0.05,-2.3157100866336626,17
0.051,-2.318610767326732,17
0.052,-2.336014851485148,17
0.053,-2.333114170792079,17
0.054,-2.289603960396039,17
0.055,-2.2925046410891086,17
0.056,-2.2751005569306924,17
0.057,-2.2721998762376234,17
0.058,-2.2518951113861383,17
0.059,-2.225788985148515,17
0.06,-2.225788985148515,17
0.061,-2.205484220297029,17
0.062,-2.2170869430693063,17
0.063,-2.211285581683168,17
0.064,-2.2083849009900987,17
0.065,-2.2634978341584153,17
0.066,-2.2925046410891086,17
0.067,-2.2925046410891086,17
0.068,-2.3099087252475248,17
0.069,-2.3215114480198014,17
0.07,-2.3389155321782176,17
0.071,-2.344716893564356,17
0.072,-2.3563196163366333,17
0.073,-2.367922339108911,17
0.074,-2.365021658415841,17
0.075,-2.3534189356435644,17
0.076,-2.3592202970297023,17
0.077,-2.3882271039603955,17
0.078,-2.420134591584158,17
0.079,-2.4607441212871284,17
0.08,-2.483949566831683,17
0.081,-2.504254331683168,17
0.082,-2.504254331683168,17
0.083,-2.530360457920792,17
0.084,-2.5274597772277225,17
0.085,-2.5187577351485144,17
0.086,-2.5100556930693068,17
0.087,-2.489750928217821,17
0.088,-2.5013536509900987,17
0.089,-2.457843440594059,17
0.09,-2.4346379950495045,17
0.091,-2.420134591584158,17
0.092,-2.391127784653465,17
0.093,-2.385326423267326,17
0.094,-2.3476175742574252,17
0.095,-2.3534189356435644,17
0.096,-2.289603960396039,17
0.097,-2.2751005569306924,17
0.098,-2.283802599009901,17
0.099,-2.2780012376237617,17
0.1,-2.257696472772277,18
0.101,-2.266398514851485,18
0.102,-2.2518951113861383,18
0.103,-2.2402923886138613,18
0.104,-2.225788985148515,18
0.105,-2.2170869430693063,18
0.106,-2.20258353960396,18
0.107,-2.1967821782178216,18
0.108,-2.185179455445544,18
0.109,-2.173576732673267,18
0.11,-2.164874690594059,18
0.111,-2.1271658415841577,18
0.112,-2.147470606435643,18
0.113,-2.141669245049504,18
0.114,-2.141669245049504,18
0.115,-2.1503712871287126,18
0.116,-2.1561726485148514,18
0.117,-2.1938814975247523,18
0.118,-2.20258353960396,18
0.119,-2.20258353960396,18
0.12,-2.1880801361386135,18
0.121,-2.211285581683168,18
0.122,-2.185179455445544,18
0.123,-2.211285581683168,18
0.124,-2.2083849009900987,18
0.125,-2.211285581683168,18
0.126,-2.225788985148515,18
0.127,-2.205484220297029,18
0.128,-2.1938814975247523,18
0.129,-2.1967821782178216,18
0.13,-2.179378094059406,18
0.131,-2.1822787747524752,18
0.132,-2.1909808168316824,18
0.133,-2.176477413366336,18
0.134,-2.185179455445544,18
0.135,-2.1822787747524752,18
0.136,-2.164874690594059,18
0.137,-2.1938814975247523,18
0.138,-2.185179455445544,18
0.139,-2.1590733292079207,18
0.14,-2.1387685643564356,18
0.141,-2.1300665222772275,18
0.142,-2.1242651608910887,18
0.143,-2.121364480198019,18
0.144,-2.1068610767326725,18
0.145,-2.1039603960396036,18
0.146,-2.1039603960396036,18
0.147,-2.132967202970297,18
0.148,-2.153271967821782,18
0.149,-2.1561726485148514,18
0.15,-2.1503712871287126,19
0.151,-2.1822787747524752,19
0.152,-2.1880801361386135,19
0.153,-2.199682858910891,19
0.154,-2.1503712871287126,19
0.155,-2.1387685643564356,19
0.156,-2.1271658415841577,19
0.157,-2.1561726485148514,19
