計算單位, mV
取樣頻率, 1000 Hz
Sec.(s), mV, pkg_NO
0.0,-0.15180228960396008,16
0.001,-0.13439820544554396,16
0.002,-0.1314975247524751,16
0.003,-0.15760365099009857,16
0.004,-0.12859684405940552,16
0.005,-0.15760365099009857,16
0.006,-0.15180228960396008,16
0.007,-0.13729888613861357,16
0.008,-0.14019956683168242,16
0.009,-0.11989480198019743,16
0.01,-0.12859684405940552,16
0.011,-0.11989480198019743,16
0.012,-0.12859684405940552,16
0.013,-0.13729888613861357,16
0.014,-0.13439820544554396,16
0.015,-0.12859684405940552,16
0.016,-0.14310024752475203,16
0.017,-0.14019956683168242,16
0.018,-0.14600092821782165,16
0.019,-0.14310024752475203,16
0.02,-0.14600092821782165,16
0.021,-0.14019956683168242,16
0.022,-0.14019956683168242,16
0.023,-0.15180228960396008,16
0.024,-0.15180228960396008,16
0.025,-0.14600092821782165,16
0.026,-0.15760365099009857,16
0.027,-0.16340501237623703,16
0.028,-0.1314975247524751,16
0.029,-0.14310024752475203,16
0.03,-0.1256961633663359,16
0.031,-0.1314975247524751,16
0.032,-0.1314975247524751,16
0.033,-0.14600092821782165,16
0.034,-0.15180228960396008,16
0.035,-0.13729888613861357,16
0.036,-0.1489016089108905,16
0.037,-0.13439820544554396,16
0.038,-0.12279548267326702,16
0.039,-0.1314975247524751,16
0.04,-0.1256961633663359,16
0.041,-0.11989480198019743,16
0.042,-0.1256961633663359,16
0.043,-0.11989480198019743,16
0.044,-0.1256961633663359,16
0.045,-0.14019956683168242,16
0.046,-0.14019956683168242,16
0.047,-0.1256961633663359,16
0.048,-0.1256961633663359,16
0.049,-0.13729888613861357,16
0.05,-0.11989480198019743,17
0.051,-0.14019956683168242,17
0.052,-0.1314975247524751,17
0.053,-0.12859684405940552,17
0.054,-0.1082920792079205,17
0.055,-0.11699412128712858,17
0.056,-0.13439820544554396,17
0.057,-0.12279548267326702,17
0.058,-0.12279548267326702,17
0.059,-0.1314975247524751,17
0.06,-0.14019956683168242,17
0.061,-0.13729888613861357,17
0.062,-0.14019956683168242,17
0.063,-0.14310024752475203,17
0.064,-0.13729888613861357,17
0.065,-0.11989480198019743,17
0.066,-0.1053913985148509,17
0.067,-0.08218595297029631,17
0.068,-0.07638459158415783,17
0.069,-0.04737778465346476,17
0.07,-0.024172339108910156,17
0.071,-0.012569616336633224,17
0.072,0.016437190594059844,17
0.073,0.019337871287129445,17
0.074,0.05994740099009945,17
0.075,0.05704672029702985,17
0.076,0.07735148514851559,17
0.077,0.06284808168316905,17
0.078,0.04834467821782252,17
0.079,0.06284808168316905,17
0.08,0.04254331683168332,17
0.081,0.02803991336633678,17
0.082,0.013536509900990245,17
0.083,0.004834467821782911,17
0.084,0.001933787128713311,17
0.085,-0.01837097772277169,17
0.086,-0.0038675742574251566,17
0.087,0.010635829207921377,17
0.088,-0.006768254950494756,17
0.089,-0.02127165841584129,17
0.09,-0.03577506188118783,17
0.091,-0.041576423267326294,17
0.092,-0.05317914603960323,17
0.093,-0.09088799504950437,17
0.094,-0.09378867574257396,17
0.095,-0.1314975247524751,17
0.096,-0.15760365099009857,17
0.097,-0.16050433168316816,17
0.098,-0.16340501237623703,17
0.099,-0.1692063737623755,17
0.1,-0.16050433168316816,18
0.101,-0.18080909653465316,18
0.102,-0.18370977722772205,18
0.103,-0.1750077351485147,18
0.104,-0.1721070544554451,18
0.105,-0.1779084158415836,18
0.106,-0.18661045792079164,18
0.107,-0.1721070544554451,18
0.108,-0.1692063737623755,18
0.109,-0.18661045792079164,18
0.11,-0.16050433168316816,18
0.111,-0.1721070544554451,18
0.112,-0.18661045792079164,18
0.113,-0.1692063737623755,18
0.114,-0.1779084158415836,18
0.115,-0.18370977722772205,18
0.116,-0.1721070544554451,18
0.117,-0.1750077351485147,18
0.118,-0.18370977722772205,18
0.119,-0.18661045792079164,18
0.12,-0.1750077351485147,18
0.121,-0.1924118193069301,18
0.122,-0.18370977722772205,18
0.123,-0.18951113861386124,18
0.124,-0.19531249999999972,18
0.125,-0.1779084158415836,18
0.126,-0.19531249999999972,18
0.127,-0.20401454207920777,18
0.128,-0.1692063737623755,18
0.129,-0.18080909653465316,18
0.13,-0.18080909653465316,18
0.131,-0.19531249999999972,18
0.132,-0.18661045792079164,18
0.133,-0.18370977722772205,18
0.134,-0.18080909653465316,18
0.135,-0.18951113861386124,18
0.136,-0.1779084158415836,18
0.137,-0.1924118193069301,18
0.138,-0.18661045792079164,18
0.139,-0.18080909653465316,18
0.14,-0.1692063737623755,18
0.141,-0.16630569306930665,18
0.142,-0.15470297029702898,18
0.143,-0.18080909653465316,18
0.144,-0.18080909653465316,18
0.145,-0.1924118193069301,18
0.146,-0.1779084158415836,18
0.147,-0.16630569306930665,18
0.148,-0.18370977722772205,18
0.149,-0.18951113861386124,18
0.15,-0.1750077351485147,19
0.151,-0.18080909653465316,19
0.152,-0.1779084158415836,19
0.153,-0.19821318069306856,19
0.154,-0.19821318069306856,19
0.155,-0.22721998762376167,19
0.156,-0.2620281559405939,19
0.157,-0.32004176980198007,19
0.158,-0.43026763613861313,19
0.159,-0.5549969059405935,19
0.16,-0.6884282178217819,19
0.161,-0.766746596534653,19
0.162,-0.7638459158415835,19
0.163,-0.6739248143564354,19
0.164,-0.5549969059405935,19
0.165,-0.34034653465346504,19
0.166,-0.08218595297029631,19
0.167,0.15566986386138673,19
0.168,0.3790222772277232,19
0.169,0.5994740099009909,19
0.17,0.8257271039603963,19
0.171,1.0867883663366338,19
0.172,1.379757116336635,19
0.173,1.6872292698019802,19
