計算單位, mV
取樣頻率, 1000 Hz
Sec.(s), mV, pkg_NO
0.0,0.251392326732674,16
0.001,0.251392326732674,16
0.002,0.24559096534653482,16
0.003,0.2687964108910894,16
0.004,0.271697091584159,16
0.005,0.251392326732674,16
0.006,0.23978960396039634,16
0.007,0.21368347772277288,16
0.008,0.18757735148514865,16
0.009,0.1817759900990102,16
0.01,0.15276918316831714,16
0.011,0.16727258663366365,16
0.012,0.17017326732673327,16
0.013,0.17597462871287173,16
0.014,0.19337871287128788,16
0.015,0.21948483910891134,16
0.016,0.2020807549504952,16
0.017,0.24559096534653482,16
0.018,0.26299504950495095,16
0.019,0.27459777227722787,16
0.02,0.2687964108910894,16
0.021,0.26299504950495095,16
0.022,0.24849164603960439,16
0.023,0.2252862004950498,16
0.024,0.21658415841584172,16
0.025,0.2078821163366344,16
0.026,0.16727258663366365,16
0.027,0.17307394801980214,16
0.028,0.15566986386138673,16
0.029,0.1817759900990102,16
0.03,0.1643719059405948,16
0.031,0.15857054455445557,16
0.032,0.19627939356435672,16
0.033,0.21658415841584172,16
0.034,0.22238551980198093,16
0.035,0.23978960396039634,16
0.036,0.24559096534653482,16
0.037,0.23688892326732747,16
0.038,0.23978960396039634,16
0.039,0.21078279702970326,16
0.04,0.2049814356435648,16
0.041,0.16727258663366365,16
0.042,0.17017326732673327,16
0.043,0.1411664603960402,16
0.044,0.13246441831683212,16
0.045,0.1411664603960402,16
0.046,0.1179610148514856,16
0.047,0.13536509900990173,16
0.048,0.14986850247524824,16
0.049,0.17597462871287173,16
0.05,0.19627939356435672,17
0.051,0.19047803217821827,17
0.052,0.21948483910891134,17
0.053,0.22238551980198093,17
0.054,0.21948483910891134,17
0.055,0.22238551980198093,17
0.056,0.2020807549504952,17
0.057,0.19627939356435672,17
0.058,0.15566986386138673,17
0.059,0.15566986386138673,17
0.06,0.15857054455445557,17
0.061,0.12666305693069363,17
0.062,0.13246441831683212,17
0.063,0.14696782178217865,17
0.064,0.13246441831683212,17
0.065,0.17307394801980214,17
0.066,0.17017326732673327,17
0.067,0.19337871287128788,17
0.068,0.19918007425742631,17
0.069,0.2281868811881194,17
0.07,0.2281868811881194,17
0.071,0.2281868811881194,17
0.072,0.2281868811881194,17
0.073,0.19918007425742631,17
0.074,0.1817759900990102,17
0.075,0.1643719059405948,17
0.076,0.15566986386138673,17
0.077,0.12666305693069363,17
0.078,0.10925897277227752,17
0.079,0.12956373762376253,17
0.08,0.13536509900990173,17
0.081,0.12086169554455518,17
0.082,0.14406714108910906,17
0.083,0.16727258663366365,17
0.084,0.1846766707920798,17
0.085,0.2049814356435648,17
0.086,0.21948483910891134,17
0.087,0.21948483910891134,17
0.088,0.21368347772277288,17
0.089,0.2049814356435648,17
0.09,0.1817759900990102,17
0.091,0.17307394801980214,17
0.092,0.14696782178217865,17
0.093,0.13536509900990173,17
0.094,0.12086169554455518,17
0.095,0.12086169554455518,17
0.096,0.11215965346534712,17
0.097,0.12956373762376253,17
0.098,0.14696782178217865,17
0.099,0.15566986386138673,17
0.1,0.17887530940594132,18
0.101,0.22238551980198093,18
0.102,0.22238551980198093,18
0.103,0.23398824257425788,18
0.104,0.23688892326732747,18
0.105,0.21368347772277288,18
0.106,0.22238551980198093,18
0.107,0.21658415841584172,18
0.108,0.18757735148514865,18
0.109,0.17017326732673327,18
0.11,0.15566986386138673,18
0.111,0.13246441831683212,18
0.112,0.15857054455445557,18
0.113,0.14986850247524824,18
0.114,0.14406714108910906,18
0.115,0.16727258663366365,18
0.116,0.17887530940594132,18
0.117,0.22238551980198093,18
0.118,0.23978960396039634,18
0.119,0.24559096534653482,18
0.12,0.2571936881188125,18
0.121,0.23978960396039634,18
0.122,0.24269028465346595,18
0.123,0.22238551980198093,18
0.124,0.1846766707920798,18
0.125,0.19627939356435672,18
0.126,0.15566986386138673,18
0.127,0.15857054455445557,18
0.128,0.13536509900990173,18
0.129,0.14696782178217865,18
0.13,0.15276918316831714,18
0.131,0.14986850247524824,18
0.132,0.1817759900990102,18
0.133,0.21078279702970326,18
0.134,0.2020807549504952,18
0.135,0.21368347772277288,18
0.136,0.23398824257425788,18
0.137,0.24849164603960439,18
0.138,0.2281868811881194,18
0.139,0.2252862004950498,18
0.14,0.2252862004950498,18
0.141,0.21658415841584172,18
0.142,0.1817759900990102,18
0.143,0.1817759900990102,18
0.144,0.14406714108910906,18
0.145,0.13826577970297058,18
0.146,0.14986850247524824,18
0.147,0.1614712252475252,18
0.148,0.14986850247524824,18
0.149,0.15566986386138673,18
0.15,0.19918007425742631,19
0.151,0.2020807549504952,19
0.152,0.23108756188118826,19
0.153,0.2281868811881194,19
0.154,0.24559096534653482,19
0.155,0.23398824257425788,19
0.156,0.19918007425742631,19
0.157,0.19627939356435672,19
0.158,0.15857054455445557,19
0.159,0.14696782178217865,19
0.16,0.10925897277227752,19
0.161,0.09765625000000058,19
0.162,0.10345761138613906,19
0.163,0.10055693069306945,19
0.164,0.10635829207920865,19
0.165,0.12086169554455518,19
0.166,0.13246441831683212,19
0.167,0.17017326732673327,19
0.168,0.17887530940594132,19
0.169,0.17887530940594132,19
0.17,0.19918007425742631,19
0.171,0.19047803217821827,19
0.172,0.21658415841584172,19
0.173,0.17887530940594132,19
0.174,0.17597462871287173,19
0.175,0.15857054455445557,19
0.176,0.12086169554455518,19
0.177,0.11506033415841599,19
0.178,0.09475556930693098,19
0.179,0.08605352722772291,19
0.18,0.074450804455446,19
0.181,0.10055693069306945,19
0.182,0.09765625000000058,19
0.183,0.12086169554455518,19
0.184,0.12956373762376253,19
0.185,0.1614712252475252,19
0.186,0.1817759900990102,19
0.187,0.19337871287128788,19
0.188,0.19627939356435672,19
0.189,0.19337871287128788,19
0.19,0.17597462871287173,19
0.191,0.14406714108910906,19
0.192,0.13246441831683212,19
0.193,0.10925897277227752,19
0.194,0.10925897277227752,19
0.195,0.10925897277227752,19
0.196,0.074450804455446,19
0.197,0.08605352722772291,19
0.198,0.11506033415841599,19
0.199,0.14406714108910906,19
0.2,0.14406714108910906,20
0.201,0.1817759900990102,20
0.202,0.19047803217821827,20
0.203,0.2078821163366344,20
0.204,0.21368347772277288,20
0.205,0.21368347772277288,20
0.206,0.21078279702970326,20
0.207,0.2049814356435648,20
0.208,0.1846766707920798,20
0.209,0.15857054455445557,20
0.21,0.13246441831683212,20
0.211,0.12956373762376253,20
0.212,0.10925897277227752,20
0.213,0.10055693069306945,20
0.214,0.12956373762376253,20
0.215,0.12086169554455518,20
0.216,0.14986850247524824,20
0.217,0.14986850247524824,20
0.218,0.19337871287128788,20
0.219,0.19918007425742631,20
0.22,0.2078821163366344,20
0.221,0.21948483910891134,20
0.222,0.2281868811881194,20
0.223,0.2078821163366344,20
0.224,0.19627939356435672,20
0.225,0.17307394801980214,20
0.226,0.14696782178217865,20
0.227,0.14696782178217865,20
0.228,0.11506033415841599,20
0.229,0.12956373762376253,20
0.23,0.13536509900990173,20
0.231,0.12376237623762407,20
0.232,0.12956373762376253,20
0.233,0.15566986386138673,20
0.234,0.1846766707920798,20
0.235,0.21658415841584172,20
0.236,0.23688892326732747,20
0.237,0.21948483910891134,20
0.238,0.24849164603960439,20
0.239,0.251392326732674,20
0.24,0.23398824257425788,20
0.241,0.21658415841584172,20
0.242,0.2078821163366344,20
0.243,0.16727258663366365,20
0.244,0.15566986386138673,20
0.245,0.15857054455445557,20
0.246,0.15276918316831714,20
0.247,0.15276918316831714,20
0.248,0.15857054455445557,20
0.249,0.1643719059405948,20
0.25,0.17307394801980214,21
0.251,0.19047803217821827,21
0.252,0.21368347772277288,21
0.253,0.22238551980198093,21
0.254,0.24849164603960439,21
0.255,0.23688892326732747,21
0.256,0.23108756188118826,21
0.257,0.2281868811881194,21
0.258,0.2020807549504952,21
0.259,0.19337871287128788,21
0.26,0.1846766707920798,21
0.261,0.14406714108910906,21
0.262,0.14696782178217865,21
0.263,0.12956373762376253,21
0.264,0.13246441831683212,21
0.265,0.14406714108910906,21
0.266,0.14406714108910906,21
0.267,0.1846766707920798,21
0.268,0.1846766707920798,21
0.269,0.2078821163366344,21
0.27,0.23978960396039634,21
0.271,0.23978960396039634,21
0.272,0.2281868811881194,21
0.273,0.22238551980198093,21
0.274,0.21658415841584172,21
0.275,0.2078821163366344,21
0.276,0.19047803217821827,21
0.277,0.18757735148514865,21
0.278,0.15857054455445557,21
0.279,0.12956373762376253,21
0.28,0.13536509900990173,21
0.281,0.12956373762376253,21
0.282,0.15276918316831714,21
0.283,0.1643719059405948,21
0.284,0.16727258663366365,21
0.285,0.19047803217821827,21
0.286,0.2078821163366344,21
0.287,0.21368347772277288,21
0.288,0.23978960396039634,21
0.289,0.2281868811881194,21
0.29,0.23688892326732747,21
0.291,0.2078821163366344,21
0.292,0.1817759900990102,21
0.293,0.19047803217821827,21
0.294,0.1614712252475252,21
0.295,0.14696782178217865,21
0.296,0.13826577970297058,21
0.297,0.13826577970297058,21
0.298,0.12086169554455518,21
0.299,0.15857054455445557,21
0.3,0.16727258663366365,22
0.301,0.21078279702970326,22
0.302,0.23978960396039634,22
