計算單位, mV
取樣頻率, 1000 Hz
Sec.(s), mV, pkg_NO
0.0,0.3674195544554463,17
0.001,0.3645188737623767,17
0.002,0.3645188737623767,17
0.003,0.3732209158415848,17
0.004,0.3645188737623767,17
0.005,0.35581683168316863,17
0.006,0.35291615099009976,17
0.007,0.3500154702970301,17
0.008,0.37032023514851514,17
0.009,0.3616181930693071,17
0.01,0.3645188737623767,17
0.011,0.3732209158415848,17
0.012,0.3645188737623767,17
0.013,0.3790222772277232,17
0.014,0.3906250000000001,17
0.015,0.3471147896039605,17
0.016,0.37612159653465366,17
0.017,0.3645188737623767,17
0.018,0.34421410891089166,17
0.019,0.3587175123762382,17
0.02,0.3732209158415848,17
0.021,0.38482363861386165,17
0.022,0.3645188737623767,17
0.023,0.3674195544554463,17
0.024,0.37612159653465366,17
0.025,0.3616181930693071,17
0.026,0.3732209158415848,17
0.027,0.3645188737623767,17
0.028,0.37032023514851514,17
0.029,0.37612159653465366,17
0.03,0.3674195544554463,17
0.031,0.3674195544554463,17
0.032,0.3790222772277232,17
0.033,0.3790222772277232,17
0.034,0.38772431930693124,17
0.035,0.37032023514851514,17
0.036,0.3906250000000001,17
0.037,0.3790222772277232,17
0.038,0.3674195544554463,17
0.039,0.35291615099009976,17
0.04,0.35581683168316863,17
0.041,0.35291615099009976,17
0.042,0.3732209158415848,17
0.043,0.37612159653465366,17
0.044,0.3674195544554463,17
0.045,0.3645188737623767,17
0.046,0.37032023514851514,17
0.047,0.3732209158415848,17
0.048,0.3906250000000001,17
0.049,0.37612159653465366,17
0.05,0.3906250000000001,18
0.051,0.3732209158415848,18
0.052,0.3906250000000001,18
0.053,0.3674195544554463,18
0.054,0.3587175123762382,18
0.055,0.3645188737623767,18
0.056,0.3645188737623767,18
0.057,0.37032023514851514,18
0.058,0.38482363861386165,18
0.059,0.3645188737623767,18
0.06,0.3732209158415848,18
0.061,0.3674195544554463,18
0.062,0.3819229579207928,18
0.063,0.39352568069306976,18
0.064,0.3906250000000001,18
0.065,0.38772431930693124,18
0.066,0.37612159653465366,18
0.067,0.3819229579207928,18
0.068,0.3906250000000001,18
0.069,0.4051284034653467,18
0.07,0.3906250000000001,18
0.071,0.38482363861386165,18
0.072,0.3906250000000001,18
0.073,0.37032023514851514,18
0.074,0.3790222772277232,18
0.075,0.3790222772277232,18
0.076,0.3819229579207928,18
0.077,0.3732209158415848,18
0.078,0.3674195544554463,18
0.079,0.3732209158415848,18
0.08,0.37032023514851514,18
0.081,0.3790222772277232,18
0.082,0.37032023514851514,18
0.083,0.3993270420792082,18
0.084,0.3645188737623767,18
0.085,0.3732209158415848,18
0.086,0.3645188737623767,18
0.087,0.3790222772277232,18
0.088,0.3732209158415848,18
0.089,0.38772431930693124,18
0.09,0.39352568069306976,18
0.091,0.39352568069306976,18
0.092,0.37032023514851514,18
0.093,0.38772431930693124,18
0.094,0.3732209158415848,18
0.095,0.35581683168316863,18
0.096,0.3790222772277232,18
0.097,0.38482363861386165,18
0.098,0.3790222772277232,18
0.099,0.3790222772277232,18
0.1,0.38482363861386165,19
0.101,0.37612159653465366,19
0.102,0.3790222772277232,19
0.103,0.37612159653465366,19
0.104,0.37612159653465366,19
0.105,0.37032023514851514,19
0.106,0.3732209158415848,19
0.107,0.3790222772277232,19
0.108,0.3790222772277232,19
0.109,0.37032023514851514,19
0.11,0.38772431930693124,19
0.111,0.3790222772277232,19
0.112,0.35291615099009976,19
0.113,0.37032023514851514,19
0.114,0.3790222772277232,19
0.115,0.3790222772277232,19
0.116,0.38482363861386165,19
0.117,0.38482363861386165,19
0.118,0.37612159653465366,19
0.119,0.38772431930693124,19
0.12,0.38482363861386165,19
0.121,0.3732209158415848,19
0.122,0.35291615099009976,19
0.123,0.3790222772277232,19
0.124,0.39352568069306976,19
0.125,0.3645188737623767,19
0.126,0.38772431930693124,19
0.127,0.39642636138613935,19
0.128,0.3906250000000001,19
0.129,0.3732209158415848,19
0.13,0.39642636138613935,19
0.131,0.3993270420792082,19
0.132,0.37032023514851514,19
0.133,0.37612159653465366,19
0.134,0.38482363861386165,19
0.135,0.3732209158415848,19
0.136,0.4022277227722778,19
0.137,0.38482363861386165,19
0.138,0.37032023514851514,19
0.139,0.3790222772277232,19
0.14,0.37032023514851514,19
0.141,0.38772431930693124,19
0.142,0.3732209158415848,19
0.143,0.37032023514851514,19
0.144,0.3732209158415848,19
0.145,0.39642636138613935,19
0.146,0.3993270420792082,19
0.147,0.40802908415841627,19
0.148,0.4022277227722778,19
0.149,0.3906250000000001,19
0.15,0.37612159653465366,20
0.151,0.38772431930693124,20
0.152,0.4051284034653467,20
0.153,0.3993270420792082,20
0.154,0.3819229579207928,20
0.155,0.39352568069306976,20
0.156,0.3819229579207928,20
0.157,0.37612159653465366,20
0.158,0.3819229579207928,20
0.159,0.3674195544554463,20
0.16,0.37612159653465366,20
0.161,0.38482363861386165,20
0.162,0.38482363861386165,20
0.163,0.38482363861386165,20
0.164,0.38772431930693124,20
0.165,0.4022277227722778,20
0.166,0.38482363861386165,20
0.167,0.39642636138613935,20
0.168,0.3906250000000001,20
0.169,0.38772431930693124,20
0.17,0.38482363861386165,20
0.171,0.3819229579207928,20
0.172,0.3993270420792082,20
0.173,0.3819229579207928,20
0.174,0.3645188737623767,20
0.175,0.4022277227722778,20
0.176,0.38482363861386165,20
0.177,0.4022277227722778,20
0.178,0.39352568069306976,20
0.179,0.4022277227722778,20
0.18,0.3993270420792082,20
0.181,0.3906250000000001,20
0.182,0.4022277227722778,20
0.183,0.38772431930693124,20
0.184,0.4138304455445548,20
0.185,0.38772431930693124,20
0.186,0.39352568069306976,20
0.187,0.4051284034653467,20
