計算單位, mV
取樣頻率, 1000 Hz
Sec.(s), mV, pkg_NO
0.0,-0.2504254331683162,256
0.001,-0.7261370668316831,256
0.002,-1.123530321782178,256
0.003,-1.4919167698019797,256
0.004,-1.6340501237623755,256
0.005,-1.4774133663366333,256
0.006,-1.0423112623762372,256
0.007,-0.4621751237623758,256
0.008,0.13536509900990173,256
0.009,0.5994740099009909,256
0.01,1.0026686262376243,256
0.011,1.4174659653465354,256
0.012,1.6466197400990104,256
0.013,1.5944074876237633,256
0.014,1.2405244430693072,256
0.015,0.68649443069307,256
0.016,0.08895420792079252,256
0.017,-0.4505724009900989,256
0.018,-0.8798731435643558,256
0.019,-1.2627629950495047,256
0.02,-1.5615331064356428,256
0.021,-1.5934405940594054,256
0.022,-1.3149752475247516,256
0.023,-0.8537670173267322,256
0.024,-0.2533261138613858,256
0.025,0.34421410891089166,256
0.026,0.76771349009901,256
0.027,1.1738087871287137,256
0.028,1.5247911509901002,256
0.029,1.6582224628712872,256
0.03,1.4551748143564356,256
0.031,1.0432781559405941,256
0.032,0.43993657178217893,256
0.033,-0.14600092821782165,256
0.034,-0.618811881188118,256
0.035,-1.0365099009900987,256
0.036,-1.439704517326732,256
0.037,-1.6398514851485149,256
0.038,-1.5441290222772273,256
0.039,-1.1757425742574257,256
0.04,-0.6130105198019796,256
0.041,-0.0038675742574251566,256
0.042,0.5153542698019804,256
0.043,0.924350247524753,256
0.044,1.330445544554456,256
0.045,1.60601021039604,256
0.046,1.6089108910891097,256
0.047,1.3217435024752486,256
0.048,0.8054223391089111,256
0.049,0.2020807549504952,256
0.05,-0.36355198019801965,256
0.051,-0.8015547648514846,256
0.052,-1.1960473391089106,256
0.053,-1.5615331064356428,256
0.054,-1.6398514851485149,256
0.055,-1.4252011138613854,256
0.056,-0.9581915222772276,256
0.057,-0.35194925742574196,256
0.058,0.21368347772277288,256
0.059,0.6719910272277235,256
0.06,1.10419245049505,256
0.061,1.5015857054455448,256
0.062,1.6756265470297032,256
0.063,1.547996596534654,256
0.064,1.1564047029702975,256
0.065,0.5762685643564363,256
0.066,-0.04737778465346476,256
0.067,-0.5636989480198015,256
0.068,-0.9378867574257419,256
0.069,-1.3671874999999996,256
0.07,-1.6166460396039601,256
0.071,-1.5731358292079205,256
0.072,-1.2395575495049502,256
0.073,-0.7232363861386134,256
0.074,-0.1082920792079205,256
0.075,0.41673112623762437,256
0.076,0.8402305074257427,256
0.077,1.2579285272277234,256
0.078,1.5857054455445545,256
0.079,1.6350170173267333,256
0.08,1.3971612004950495,256
0.081,0.9098468440594065,256
0.082,0.332611386138614,256
0.083,-0.2620281559405939,256
0.084,-0.7116336633663365,256
0.085,-1.106126237623762,256
0.086,-1.5122215346534646,256
0.087,-1.6601562499999998,256
0.088,-1.4658106435643563,256
0.089,-1.0597153465346534,256
0.09,-0.4331683168316827,256
0.091,0.10635829207920865,256
0.092,0.6023746905940597,256
0.093,1.0229733910891092,256
0.094,1.4029625618811887,256
0.095,1.6176129331683171,256
0.096,1.571202042079208,256
0.097,1.1999149133663374,256
0.098,0.6545869430693074,256
0.099,0.04834467821782252,256
0.1,-0.4853805693069304,256
0.101,-0.90597926980198,256
0.102,-1.2656636757425737,256
0.103,-1.578937190594059,256
0.104,-1.607943997524752,256
0.105,-1.32367728960396,256
0.106,-0.8189588490099008,256
0.107,-0.2127165841584151,256
0.108,0.3616181930693071,256
0.109,0.7851175742574262,256
0.11,1.2028155940594067,256
0.111,1.5625000000000004,256
0.112,1.6843285891089121,256
0.113,1.4754795792079214,256
0.114,1.034576113861387,256
0.115,0.44863861386138626,256
0.116,-0.1489016089108905,256
0.117,-0.6391166460396037,256
0.118,-1.033609220297029,256
0.119,-1.436803836633663,256
0.12,-1.6427521658415836,256
0.121,-1.5267249381188113,256
0.122,-1.1380337252475246,256
0.123,-0.5927057549504946,256
0.124,0.004834467821782911,256
0.125,0.5240563118811886,256
0.126,0.9330522896039611,256
0.127,1.3362469059405953,256
0.128,1.6350170173267333,256
0.129,1.6437190594059405,256
0.13,1.3333462252475257,256
0.131,0.8141243811881193,256
0.132,0.19627939356435672,256
