計算單位, mV
取樣頻率, 1000 Hz
Sec.(s), mV, pkg_NO
0.0,-1.0858214727722768,256
0.001,-1.4077970297029703,256
0.002,-1.5586324257425739,256
0.003,-1.4106977103960392,256
0.004,-1.0307085396039601,256
0.005,-0.4969832920792074,256
0.006,0.06864944306930752,256
0.007,0.5414603960396046,256
0.008,0.9011448019801985,256
0.009,1.2318224009901,256
0.01,1.4406714108910892,256
0.011,1.388459158415842,256
0.012,1.0664836014851489,256
0.013,0.5530631188118816,256
0.014,0.001933787128713311,256
0.015,-0.5056853341584154,256
0.016,-0.8508663366336626,256
0.017,-1.2424582301980192,256
0.018,-1.5006188118811878,256
0.019,-1.5267249381188113,256
0.02,-1.251160272277227,256
0.021,-0.8218595297029696,256
0.022,-0.24752475247524736,256
0.023,0.3007038985148521,256
0.024,0.6893951113861388,256
0.025,1.0316754331683173,256
0.026,1.359452351485149,256
0.027,1.5044863861386146,256
0.028,1.2811339727722773,256
0.029,0.8924427599009903,256
0.03,0.35581683168316863,256
0.031,-0.2127165841584151,256
0.032,-0.6478186881188112,256
0.033,-0.9871983292079206,256
0.034,-1.3352800123762376,256
0.035,-1.5180228960396032,256
0.036,-1.4571086014851482,256
0.037,-1.0916228341584153,256
0.038,-0.5782023514851481,256
0.039,-0.015470297029702824,256
0.04,0.4660426980198024,256
0.041,0.8199257425742578,256
0.042,1.1999149133663374,256
0.043,1.4464727722772284,256
0.044,1.4406714108910892,256
0.045,1.159305383663367,256
0.046,0.677792388613862,256
0.047,0.11506033415841599,256
0.048,-0.3809560643564351,256
0.049,-0.77834931930693,256
0.05,-1.1177289603960394,256
0.051,-1.4571086014851482,256
0.052,-1.541228341584158,256
0.053,-1.3294786509900982,256
0.054,-0.8972772277227719,256
0.055,-0.3751547029702966,256
0.056,0.17307394801980214,256
0.057,0.5878712871287132,256
0.058,0.9649597772277231,256
0.059,1.3072400990099022,256
0.06,1.4522741336633673,256
0.061,1.3362469059405953,256
0.062,0.9678604579207926,256
0.063,0.4544399752475255,256
0.064,-0.09378867574257396,256
0.065,-0.5520962252475246,256
0.066,-0.9030785891089103,256
0.067,-1.2627629950495047,256
0.068,-1.5122215346534646,256
0.069,-1.4774133663366333,256
0.07,-1.1728418935643559,256
0.071,-0.7000309405940588,256
0.072,-0.13729888613861357,256
0.073,0.3674195544554463,256
0.074,0.7503094059405946,256
0.075,1.1157951732673268,256
0.076,1.3971612004950495,256
0.077,1.4754795792079214,256
0.078,1.211517636138614,256
0.079,0.7880182549504957,256
0.08,0.26299504950495095,256
0.081,-0.2939356435643558,256
0.082,-0.6913288985148508,256
0.083,-1.0307085396039601,256
0.084,-1.381690903465346,256
0.085,-1.509320853960396,256
0.086,-1.3613861386138608,256
0.087,-0.9900990099009894,256
0.088,-0.4940826113861385,256
0.089,0.07735148514851559,256
0.09,0.5153542698019804,256
0.091,0.8779393564356439,256
0.092,1.2347230816831694,256
0.093,1.4580754950495052,256
0.094,1.3855584777227727,256
0.095,1.0722849628712872,256
0.096,0.5646658415841586,256
0.097,-0.01837097772277169,256
0.098,-0.49118193069306887,256
0.099,-0.8566676980198019,256
0.1,-1.2134514232673261,256
0.101,-1.4890160891089104,256
0.102,-1.520923576732673,256
0.103,-1.2540609529702968,256
0.104,-0.8102568069306926,256
0.105,-0.2649288366336628,256
0.106,0.28039913366336705,256
0.107,0.6603883044554458,256
0.108,1.0171720297029707,256
0.109,1.3652537128712883,256
0.11,1.4725788985148518,256
0.111,1.2724319306930698,256
0.112,0.875038675742575,256
0.113,0.3384127475247532,256
0.114,-0.1750077351485147,256
0.115,-0.6420173267326726,256
0.116,-0.9813969678217815,256
0.117,-1.341081373762376,256
0.118,-1.5296256188118809,256
0.119,-1.431002475247524,256
0.12,-1.0974241955445536,256
0.121,-0.5869043935643561,256
0.122,-0.012569616336633224,256
0.123,0.468943378712872,256
0.124,0.8286277846534658,256
0.125,1.1825108292079212,256
0.126,1.4435720915841586,256
0.127,1.466777537128714,256
0.128,1.1796101485148514,256
0.129,0.709699876237624,256
0.13,0.16727258663366365,256
0.131,-0.34904857673267314,256
0.132,-0.7580445544554449,256
0.133,-1.1148282797029698,256
0.134,-1.4542079207920786,256
0.135,-1.5267249381188113,256
0.136,-1.3294786509900982,256
0.137,-0.90597926980198,256
0.138,-0.36065129950495006,256
0.139,0.19047803217821827,256
0.14,0.628480816831684,256
0.141,0.9591584158415846,256
0.142,1.3101407797029703,256
0.143,1.4812809405940606,256
0.144,1.3507503094059419,256
0.145,0.9881652227722777,256
0.146,0.4805461014851489,256
0.147,-0.07928527227722743,256
0.148,-0.549195544554455,256
0.149,-0.8885751856435637,256
0.15,-1.2569616336633656,256
0.151,-1.5180228960396032,256
0.152,-1.4658106435643563,256
0.153,-1.201848700495049,256
0.154,-0.7087329826732669,256
0.155,-0.16630569306930665,256
0.156,0.3674195544554463,256
0.157,0.7242032797029704,256
0.158,1.0954904084158419,256
0.159,1.4232673267326745,256
0.16,1.4696782178217822,256
0.161,1.2318224009901,256
0.162,0.8141243811881193,256
0.163,0.251392326732674,256
0.164,-0.28813428217821735,256
0.165,-0.7087329826732669,256
0.166,-1.0481126237623757,256
0.167,-1.381690903465346,256
0.168,-1.520923576732673,256
0.169,-1.3729888613861378,256
0.17,-0.9900990099009894,256
0.171,-0.4505724009900989,256
0.172,0.08315284653465406,256
0.173,0.55886448019802,256
0.174,0.9185488861386145,256
0.175,1.260829207920793,256
0.176,1.5044863861386146,256
0.177,1.4232673267326745,256
0.178,1.092589727722773,256
0.179,0.5965733292079212,256
0.18,0.022238551980198314,256
0.181,-0.5056853341584154,256
0.182,-0.8653697400990091,256
0.183,-1.201848700495049,256
0.184,-1.5035194925742565,256
0.185,-1.5325262995049498,256
0.186,-1.2830677599009896,256
0.187,-0.8247602103960392,256
0.188,-0.2562267945544547,256
0.189,0.28039913366336705,256
0.19,0.677792388613862,256
0.191,1.0287747524752475,256
0.192,1.3507503094059419,256
0.193,1.4580754950495052,256
0.194,1.2811339727722773,256
0.195,0.8895420792079215,256
0.196,0.2774984529702975,256
0.197,-0.21561726485148472,256
0.198,-0.6768254950495043,256
0.199,-1.0162051361386137,256
0.2,-1.3265779702970293,256
0.201,-1.509320853960396,256
0.202,-1.4455058787128707,256
0.203,-1.0829207920792072,256
0.204,-0.5840037128712866,256
0.205,-0.032874381188118224,256
0.206,0.42253248762376283,256
0.207,0.8199257425742578,256
0.208,1.1709081064356441,256
0.209,1.4696782178217822,256
0.21,1.4580754950495052,256
0.211,1.1796101485148514,256
0.212,0.7300046410891097,256
0.213,0.14986850247524824,256
0.214,-0.3809560643564351,256
